Time,CpuTime (minutes),Memory (MB),CPU_Percentage
2025-03-15 08:03:00,5.92,129.00,95.24
2025-03-15 08:08:00,5.99,127.86,96.43
2025-03-15 08:13:00,6.08,125.79,97.90
2025-03-15 08:18:00,5.68,120.96,91.47
2025-03-15 08:23:00,5.98,113.09,96.33
2025-03-15 08:28:00,0.69,103.48,11.05
2025-03-15 08:33:00,0.21,99.15,3.42
2025-03-15 08:38:00,5.73,97.81,92.26
2025-03-15 08:43:00,5.96,92.43,95.96
2025-03-15 08:48:00,5.58,89.60,89.86
2025-03-15 08:53:00,6.04,88.14,97.24
2025-03-15 08:58:00,5.99,88.67,96.50
2025-03-15 09:03:00,5.99,87.40,96.44
2025-03-15 09:08:00,6.04,88.03,97.24
2025-03-15 09:13:00,6.15,86.08,98.99
2025-03-15 09:18:00,6.09,86.35,98.05
2025-03-15 09:23:00,6.21,84.02,99.98
2025-03-15 09:28:00,6.01,83.53,96.74
2025-03-15 09:33:00,6.16,81.74,99.19
2025-03-15 09:38:00,6.12,79.97,98.49
2025-03-15 09:43:00,6.09,79.06,97.97
2025-03-15 09:48:00,6.21,78.45,100.00
2025-03-15 09:53:00,6.04,74.39,97.20
2025-03-15 09:58:00,6.03,74.55,97.06
2025-03-15 10:03:00,5.97,73.67,96.17
2025-03-15 10:08:00,6.18,72.47,99.43
2025-03-15 10:13:00,5.96,73.83,95.93
2025-03-15 10:18:00,6.20,75.07,99.74
2025-03-15 10:23:00,6.11,72.84,98.29
2025-03-15 10:28:00,5.88,73.90,94.68
2025-03-15 10:33:00,6.01,73.29,96.78
2025-03-15 10:38:00,6.02,74.00,96.90
2025-03-15 10:43:00,5.98,74.09,96.24
2025-03-15 10:48:00,6.14,74.54,98.87
2025-03-15 10:53:00,4.76,73.20,76.58
2025-03-15 10:58:00,0.22,71.38,3.55
2025-03-15 11:03:00,0.22,71.12,3.50
2025-03-15 11:08:00,0.21,72.32,3.42
2025-03-15 11:13:00,0.20,74.21,3.25
2025-03-15 11:18:00,0.21,74.82,3.37
2025-03-15 11:23:00,0.20,74.46,3.28
